SampleID,X_ft,Y_ft,GPS_Latitude,GPS_Longitude,Decimal_Latitude,Decimal_Longitude
S001,122.51,14602084.31,40-06-56.22,00-00-01.53,40.115616,0.000425
S002,56.34,14601967.42,40-06-55.06,00-00-00.70,40.115295,0.000195
S003,54.02,14602119.51,40-06-56.57,00-00-00.67,40.115713,0.000187
S004,143.35,14601980.42,40-06-55.19,00-00-01.79,40.115331,0.000497
S005,75.08,14601955.46,40-06-54.94,00-00-00.94,40.115262,0.000261
S006,82.93,14601874.92,40-06-54.15,00-00-01.04,40.115041,0.000288
S007,74.93,14601904.8,40-06-54.44,00-00-00.94,40.115123,0.00026
S008,132.72,14601920.08,40-06-54.59,00-00-01.66,40.115165,0.000461
S009,21.29,14601925.85,40-06-54.65,00-00-00.27,40.115181,7.4e-05
S010,99.37,14601955.62,40-06-54.95,00-00-01.24,40.115263,0.000345
S011,83.88,14602125.06,40-06-56.62,00-00-01.05,40.115728,0.000291
S012,48.8,14601951.45,40-06-54.90,00-00-00.61,40.115251,0.000169
S013,87.95,14601965.55,40-06-55.04,00-00-01.10,40.11529,0.000305
S014,57.84,14602004.06,40-06-55.42,00-00-00.72,40.115396,0.000201
S015,92.44,14602098.44,40-06-56.36,00-00-01.15,40.115655,0.000321
S016,137.31,14601870.01,40-06-54.10,00-00-01.72,40.115028,0.000476
S017,19.05,14601943.28,40-06-54.82,00-00-00.24,40.115229,6.6e-05
S018,96.51,14602042.32,40-06-55.80,00-00-01.21,40.115501,0.000335
S019,110.84,14601898.57,40-06-54.38,00-00-01.38,40.115106,0.000385
S020,11.74,14601896.69,40-06-54.36,00-00-00.15,40.115101,4.1e-05
S021,133.78,14602029.73,40-06-55.68,00-00-01.67,40.115466,0.000464
S022,74.19,14602026.59,40-06-55.65,00-00-00.93,40.115458,0.000257
S023,151.08,14602011.04,40-06-55.49,00-00-01.89,40.115415,0.000524
S024,152.7,14602054.02,40-06-55.92,00-00-01.91,40.115533,0.00053
S025,71.1,14602062.48,40-06-56.00,00-00-00.89,40.115556,0.000247
S026,156.58,14602114.06,40-06-56.51,00-00-01.96,40.115698,0.000543
S027,39.03,14602004.45,40-06-55.43,00-00-00.49,40.115397,0.000135
S028,41.43,14601895.49,40-06-54.35,00-00-00.52,40.115098,0.000144
S029,34.51,14602086.73,40-06-56.24,00-00-00.43,40.115623,0.00012
S030,153.4,14602089.92,40-06-56.27,00-00-01.92,40.115632,0.000532
S031,21.64,14602115.51,40-06-56.53,00-00-00.27,40.115702,7.5e-05
S032,57.2,14602036.85,40-06-55.75,00-00-00.71,40.115486,0.000198
S033,15.25,14602072.53,40-06-56.10,00-00-00.19,40.115584,5.3e-05
S034,124.55,14602100.7,40-06-56.38,00-00-01.56,40.115661,0.000432
S035,14.03,14601975.65,40-06-55.14,00-00-00.18,40.115318,4.9e-05
S036,50.19,14602081.41,40-06-56.19,00-00-00.63,40.115608,0.000174
S037,26.33,14602027.91,40-06-55.66,00-00-00.33,40.115461,9.1e-05
S038,141.63,14602124.21,40-06-56.61,00-00-01.77,40.115726,0.000491
S039,3.67,14601997.02,40-06-55.36,00-00-00.05,40.115376,1.3e-05
S040,0.84,14602055.76,40-06-55.94,00-00-00.01,40.115538,3e-06
