Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
B2,2,2,62.03,34.0,LD21-5253,58.61125,65.44875,30.0,38.0
B2,2,3,68.87,34.0,AG29XF4,65.45125,72.28875000000001,30.0,38.0
B2,2,4,75.71,34.0,LD20-4988,72.29124999999999,79.12875,30.0,38.0
B2,3,0,48.36,44.0,AG29XF5,44.94125,51.77875,40.0,48.0
B2,3,1,55.19,44.0,LD21-7234,51.771249999999995,58.60875,40.0,48.0
B2,3,2,62.03,44.0,AG29XF4,58.61125,65.44875,40.0,48.0
B2,3,3,68.87,44.0,LD20-4471,65.45125,72.28875000000001,40.0,48.0
B2,3,4,75.71,44.0,AG29XF5,72.29124999999999,79.12875,40.0,48.0
B2,4,0,48.36,54.0,LD11-2170,44.94125,51.77875,50.0,58.0
B2,4,1,55.19,54.0,AG29XF5,51.771249999999995,58.60875,50.0,58.0
B2,4,2,62.03,54.0,LD20-5738,58.61125,65.44875,50.0,58.0
B2,4,3,68.87,54.0,AG29XF4,65.45125,72.28875000000001,50.0,58.0
B2,4,4,75.71,54.0,LD20-4542,72.29124999999999,79.12875,50.0,58.0
B2,5,0,48.36,64.0,AG29XF4,44.94125,51.77875,60.0,68.0
B2,5,1,55.19,64.0,LD20-4988,51.771249999999995,58.60875,60.0,68.0
B2,5,2,62.03,64.0,AG29XF5,58.61125,65.44875,60.0,68.0
B2,5,3,68.87,64.0,LD22-4283,65.45125,72.28875000000001,60.0,68.0
B2,5,4,75.71,64.0,AG29XF4,72.29124999999999,79.12875,60.0,68.0
B2,6,0,48.36,74.0,LD20-5413,44.94125,51.77875,70.0,78.0
B2,6,1,55.19,74.0,AG29XF5,51.771249999999995,58.60875,70.0,78.0
B2,6,2,62.03,74.0,LD21-5253,58.61125,65.44875,70.0,78.0
B2,6,3,68.87,74.0,AG29XF5,65.45125,72.28875000000001,70.0,78.0
B2,6,4,75.71,74.0,LD21-7234,72.29124999999999,79.12875,70.0,78.0
B2,7,0,48.36,84.0,AG29XF4,44.94125,51.77875,80.0,88.0
B2,7,1,55.19,84.0,LD20-5738,51.771249999999995,58.60875,80.0,88.0
B2,7,2,62.03,84.0,AG29XF5,58.61125,65.44875,80.0,88.0
B2,7,3,68.87,84.0,LD20-4471,65.45125,72.28875000000001,80.0,88.0
B2,7,4,75.71,84.0,AG29XF4,72.29124999999999,79.12875,80.0,88.0
B3,0,0,83.79,14.0,LD21-5944,80.37125,87.20875000000001,10.0,18.0
B3,0,1,90.63,14.0,LG3216,87.21124999999999,94.04875,10.0,18.0
B3,0,2,97.47,14.0,LD11-2170,94.05125,100.88875,10.0,18.0
B3,0,3,104.31,14.0,LG3216,100.89125,107.72875,10.0,18.0
B3,0,4,111.14,14.0,LD20-11748,107.72125,114.55875,10.0,18.0
B3,1,0,83.79,24.0,LG3216,80.37125,87.20875000000001,20.0,28.0
B3,1,1,90.63,24.0,LD22-4283,87.21124999999999,94.04875,20.0,28.0
B3,1,2,97.47,24.0,LG3216,94.05125,100.88875,20.0,28.0
B3,1,3,104.31,24.0,LD17-10473F,100.89125,107.72875,20.0,28.0
B3,1,4,111.14,24.0,LG3216,107.72125,114.55875,20.0,28.0
B3,2,0,83.79,34.0,LD20-4542,80.37125,87.20875000000001,30.0,38.0
B3,2,1,90.63,34.0,LG3216,87.21124999999999,94.04875,30.0,38.0
B3,2,2,97.47,34.0,LD21-3090,94.05125,100.88875,30.0,38.0
B3,2,3,104.31,34.0,LG3216,100.89125,107.72875,30.0,38.0
B3,2,4,111.14,34.0,LD00-2817P,107.72125,114.55875,30.0,38.0
B3,3,0,83.79,44.0,LG3216,80.37125,87.20875000000001,40.0,48.0
B3,3,1,90.63,44.0,LD21-5253,87.21124999999999,94.04875,40.0,48.0
B3,3,2,97.47,44.0,LG3216,94.05125,100.88875,40.0,48.0
B3,3,3,104.31,44.0,LD07-3395bf,100.89125,107.72875,40.0,48.0
B3,3,4,111.14,44.0,LG3216,107.72125,114.55875,40.0,48.0
B3,4,0,83.79,54.0,LD20-5738,80.37125,87.20875000000001,50.0,58.0
B3,4,1,90.63,54.0,LG3216,87.21124999999999,94.04875,50.0,58.0
B3,4,2,97.47,54.0,LD20-4471,94.05125,100.88875,50.0,58.0
B3,4,3,104.31,54.0,LG3216,100.89125,107.72875,50.0,58.0
B3,4,4,111.14,54.0,LD20-4988,107.72125,114.55875,50.0,58.0
B3,5,0,83.79,64.0,LG3216,80.37125,87.20875000000001,60.0,68.0
B3,5,1,90.63,64.0,LD21-7234,87.21124999999999,94.04875,60.0,68.0
B3,5,2,97.47,64.0,LG3216,94.05125,100.88875,60.0,68.0
B3,5,3,104.31,64.0,LD21-5665,100.89125,107.72875,60.0,68.0
B3,5,4,111.14,64.0,LG3216,107.72125,114.55875,60.0,68.0
B3,6,0,83.79,74.0,LD19-10244,80.37125,87.20875000000001,70.0,78.0
B3,6,1,90.63,74.0,LG3216,87.21124999999999,94.04875,70.0,78.0
B3,6,2,97.47,74.0,LD19-10076,94.05125,100.88875,70.0,78.0
B3,6,3,104.31,74.0,LG3216,100.89125,107.72875,70.0,78.0
B3,6,4,111.14,74.0,LD21-5991,107.72125,114.55875,70.0,78.0
B3,7,0,83.79,84.0,LG3216,80.37125,87.20875000000001,80.0,88.0
B3,7,1,90.63,84.0,LD17-10473L,87.21124999999999,94.04875,80.0,88.0
B3,7,2,97.47,84.0,LG3216,94.05125,100.88875,80.0,88.0
B3,7,3,104.31,84.0,LD20-5413,100.89125,107.72875,80.0,88.0
B3,7,4,111.14,84.0,LG3216,107.72125,114.55875,80.0,88.0
B4,0,0,119.23,14.0,AG34XF6,115.81125,122.64875,10.0,18.0
B4,0,1,126.07,14.0,LD17-10473F,122.65124999999999,129.48874999999998,10.0,18.0
B4,0,2,132.91,14.0,AG35XF5,129.49125,136.32874999999999,10.0,18.0
B4,0,3,139.74,14.0,LD21-3090,136.32125000000002,143.15875,10.0,18.0
B4,0,4,146.58,14.0,AG40XFF5,143.16125000000002,149.99875,10.0,18.0
B4,1,0,119.23,24.0,LD21-7234,115.81125,122.64875,20.0,28.0
B4,1,1,126.07,24.0,AG36XF4,122.65124999999999,129.48874999999998,20.0,28.0
B4,1,2,132.91,24.0,LD21-5665,129.49125,136.32874999999999,20.0,28.0
B4,1,3,139.74,24.0,AG38XF6,136.32125000000002,143.15875,20.0,28.0
B4,1,4,146.58,24.0,LD21-5253,143.16125000000002,149.99875,20.0,28.0
B4,2,0,119.23,34.0,AG34XF6,115.81125,122.64875,30.0,38.0
B4,2,1,126.07,34.0,LD07-3395bf,122.65124999999999,129.48874999999998,30.0,38.0
